id,title,artist_name,artist_uri,genres,image,last_fm_uri
1917087e-c85d-339e-93c5-85512aeb8e66,Fireman,Jawbreaker,https://www.last.fm/music/Jawbreaker,"punk, emo, punk rock, alternative rock, favorites",,https://www.last.fm/music/Jawbreaker/_/Fireman
8d1b8947-563d-36be-80cc-cc4ca5e445e5,When Shirts Get Tight,Fig Dish,https://www.last.fm/music/Fig+Dish,90z,,https://www.last.fm/music/Fig+Dish/_/When+Shirts+Get+Tight
02cbf212-c7fa-3f18-b048-744cc4e4f218,Pocketful of Sunshine,Natasha Bedingfield,https://www.last.fm/music/Natasha+Bedingfield,"pop, Natasha Bedingfield, female vocalists, upbeat, 2008",,https://www.last.fm/music/Natasha+Bedingfield/_/Pocketful+of+Sunshine
3bbf951a-d4af-4b34-8ded-cf6c4b9b9b2c,Smack That,Akon,https://www.last.fm/music/Akon,"Hip-Hop, Akon, rap, hip hop, dance",,https://www.last.fm/music/Akon/_/Smack+That
7d4c1280-4155-4eed-9e41-b20a3ea0a706,Still D.R.E.,Dr. Dre,https://www.last.fm/music/Dr.+Dre,"Hip-Hop, rap, Gangsta Rap, dr dre, hip hop",,https://www.last.fm/music/Dr.+Dre/_/Still+D.R.E.
238f629f-2509-3f2e-a9f2-814779ce1365,Happily Ever After,Case,https://www.last.fm/music/Case,"slow jams, case, rnb, happily ever after, soul",,https://www.last.fm/music/Case/_/Happily+Ever+After
2ebbd6f7-7b01-393b-966d-e7e199992c6b,Something in My Heart,Michel'le,https://www.last.fm/music/Michel%27le,"quiet storm, female vocalists, 90s, rnb, slow jams",,https://www.last.fm/music/Michel%27le/_/Something+in+My+Heart
e01cdd04-d3b2-44f5-bd5b-ad4d0f26018a,Let's Chill,Guy,https://www.last.fm/music/Guy,"slow jams, rnb, Guy, 90s, new jack swing",,https://www.last.fm/music/Guy/_/Let%27s+Chill
98ef879a-d8b1-4959-b71b-84cdf5ed6be2,Blind Alley,The Emotions,https://www.last.fm/music/The+Emotions,"soul, sampled, funk, oldies, sample this",,https://www.last.fm/music/The+Emotions/_/Blind+Alley
084a1fe9-8a0a-3722-9b48-59840f64ca89,B Monkey,Funki Porcini,https://www.last.fm/music/Funki+Porcini,"trip-hop, downtempo, chillout, electronic, jazz",,https://www.last.fm/music/Funki+Porcini/_/B+Monkey
1b3b93b4-19a8-3af0-9b0d-71c90fbd8dfa,Dissolved Girl,Massive Attack,https://www.last.fm/music/Massive+Attack,"trip-hop, electronic, chillout, downtempo, trip hop",,https://www.last.fm/music/Massive+Attack/_/Dissolved+Girl
34f8647f-4e43-3da0-946d-4ba99eee51f7,Excuse Me,The Herbaliser,https://www.last.fm/music/The+Herbaliser,"Hip-Hop, trip-hop, ninja tune, electronic, vule",,https://www.last.fm/music/The+Herbaliser/_/Excuse+Me
1a8dfac9-fd6f-3d3b-aebc-10f724eefddf,Heaven Sent,Esthero,https://www.last.fm/music/Esthero,"trip-hop, female vocalists, downtempo, chillout, electronica",,https://www.last.fm/music/Esthero/_/Heaven+Sent
b83c74f7-3503-3dfd-a39e-6ea4ab5ba67c,A Grand Love Theme,Kid Loco,https://www.last.fm/music/Kid+Loco,"downtempo, chillout, trip-hop, electronic, lounge",,https://www.last.fm/music/Kid+Loco/_/A+Grand+Love+Theme
21cec441-d4bb-4114-921d-a2adcc89a3db,Spicy Snapper,Ian Pooley,https://www.last.fm/music/Ian+Pooley,"lounge, chillout, bossa, deep house, funky",,https://www.last.fm/music/Ian+Pooley/_/Spicy+Snapper
02d32136-9633-443f-8d95-9ecabee87a03,Eine kleine Hedmusik,Coldcut,https://www.last.fm/music/Coldcut,"trip-hop, downbeat, electronic, ninja tune, gritty",,https://www.last.fm/music/Coldcut/_/Eine+kleine+Hedmusik
ef147f69-98d6-4bad-b1c6-787f252757b6,Every Word Means No,Smash Mouth,https://www.last.fm/music/Smash+Mouth,"alternative, rock, pop rock, Soundtrack, alternative rock",,https://www.last.fm/music/Smash+Mouth/_/Every+Word+Means+No
1501b0ac-7ea9-41e1-b987-94a33bbaa098,"Any Time, Any Place",Janet Jackson,https://www.last.fm/music/Janet+Jackson,"rnb, pop, sexy, 90s, r&b",,"https://www.last.fm/music/Janet+Jackson/_/Any+Time,+Any+Place"
00ffe4c3-fdc4-3d4f-a9fa-f7bf3b1ec6f2,I Get Lonely,Janet Jackson,https://www.last.fm/music/Janet+Jackson,"rnb, soul, pop, 90s, female vocalists",,https://www.last.fm/music/Janet+Jackson/_/I+Get+Lonely
a471cc35-3ceb-47c5-9522-c9a9c53a1413,Everything You Want,Vertical Horizon,https://www.last.fm/music/Vertical+Horizon,"alternative rock, rock, 90s, alternative, pop",,https://www.last.fm/music/Vertical+Horizon/_/Everything+You+Want
000df1d8-1dad-43e8-8fac-f3398591ea66,Letters,Stroke 9,https://www.last.fm/music/Stroke+9,"alternative rock, 90s, rock, favorites, Love",,https://www.last.fm/music/Stroke+9/_/Letters
7c8229ed-a562-42f8-b949-b62a58ef038b,Interlude,TM Juke,https://www.last.fm/music/TM+Juke,"downtempo, chillout, ambient, lounge, electronica",,https://www.last.fm/music/TM+Juke/_/Interlude
74286e2f-fd92-4317-b2ce-db508eef4015,Good Day,Nappy Roots,https://www.last.fm/music/Nappy+Roots,"Hip-Hop, happy, rap, hip hop, upbeat",,https://www.last.fm/music/Nappy+Roots/_/Good+Day
d0855b3f-0fb9-421c-b3aa-d463bd930de9,Sextape,Deftones,https://www.last.fm/music/Deftones,"alternative metal, alternative rock, metal, beautiful, Deftones",,https://www.last.fm/music/Deftones/_/Sextape
7615e831-dc40-3e3a-9c79-2c59fbe49add,My Own Summer (Shove It),Deftones,https://www.last.fm/music/Deftones,"Nu Metal, metal, alternative, Deftones, alternative rock",,https://www.last.fm/music/Deftones/_/My+Own+Summer+(Shove+It)
c59c4bd3-932c-4e3b-bb1b-976ed84a3663,Change (In the House of Flies),Deftones,https://www.last.fm/music/Deftones,"metal, rock, alternative, alternative rock, Deftones",,https://www.last.fm/music/Deftones/_/Change+(In+the+House+of+Flies)
fed16a39-2342-4b70-a1f9-3d23e84a50a5,My Own Worst Enemy,Lit,https://www.last.fm/music/Lit,"rock, 90s, pop punk, alternative rock, alternative",,https://www.last.fm/music/Lit/_/My+Own+Worst+Enemy
1167fd06-e40a-4c17-a21c-13ca1c7441a8,Get A Way,Maxx,https://www.last.fm/music/Maxx,"90s, dance, eurodance, electronic, 90s dance",,https://www.last.fm/music/Maxx/_/Get+A+Way
15ad0a9f-8415-31a4-a383-72b5e0ec735e,Le Sampa,Richard Gotainer,https://www.last.fm/music/Richard+Gotainer,"pop, 80s, Chanson Française, funky, humour",,https://www.last.fm/music/Richard+Gotainer/_/Le+Sampa
85232eaf-db3e-4622-849f-286c4e2d0f09,Le Brio (Branchez La Guitare),Big Soul,https://www.last.fm/music/Big+Soul,"alternative rock, female vocalists, 90s",,https://www.last.fm/music/Big+Soul/_/Le+Brio+(Branchez+La+Guitare)
10a4b77a-68fb-4590-a56a-2950cd767d9e,Là-bas,Jean-Jacques Goldman,https://www.last.fm/music/Jean-Jacques+Goldman,"chanson francaise, french, 80s, singer-songwriter, pop",,https://www.last.fm/music/Jean-Jacques+Goldman/_/L%C3%A0-bas
713b6f02-62df-4314-a9fc-be085f4c771c,Big Fun,Inner City,https://www.last.fm/music/Inner+City,"House, dance, 80s, classic house, 1988",,https://www.last.fm/music/Inner+City/_/Big+Fun
10b0ae62-8339-4f17-9e2b-f28c76e2ba30,Aux Sombres Héros De L'Amer,Noir Désir,https://www.last.fm/music/Noir+D%C3%A9sir,"french, French rock, alternative, goldies, rock",,https://www.last.fm/music/Noir+D%C3%A9sir/_/Aux+Sombres+H%C3%A9ros+De+L%27Amer
19a1e221-141b-4b31-97c2-c3d2475e707d,Searchin' For My Rizla,Ratpack,https://www.last.fm/music/Ratpack,"Rave, old skool, Old school Hardcore, hardcore, favorites",,https://www.last.fm/music/Ratpack/_/Searchin%27+For+My+Rizla
960f63b4-b122-4c37-bb91-0176556f23e2,Lovefool - Radio Edit,The Cardigans,https://www.last.fm/music/The+Cardigans,"pop, rock, 90s, swedish, Soundtrack",,https://www.last.fm/music/The+Cardigans/_/Lovefool+-+Radio+Edit
09260f5f-3ac6-487f-bf1c-0cbce1d61aa5,Losing You,Solange,https://www.last.fm/music/Solange,"summer, rnb, 2012, r&b, pop",,https://www.last.fm/music/Solange/_/Losing+You
c44654d7-b718-4547-a676-909105bb67df,The Pleasure Principle,Janet Jackson,https://www.last.fm/music/Janet+Jackson,"80s, pop, rnb, dance, janet jackson",,https://www.last.fm/music/Janet+Jackson/_/The+Pleasure+Principle
22d21717-ada9-45c5-808e-23ac163d17ea,Rabbit in Your Headlights,UNKLE,https://www.last.fm/music/UNKLE,"trip-hop, electronic, downtempo, chillout, electronica",,https://www.last.fm/music/UNKLE/_/Rabbit+in+Your+Headlights
14700fa1-330d-3b41-8a03-e942e9a84f24,Elysian Fields,Minus 8,https://www.last.fm/music/Minus+8,"downtempo, lounge, chillout, alternative lounge, nu jazz",,https://www.last.fm/music/Minus+8/_/Elysian+Fields
194bb2b9-94cf-4711-bf29-9916c1a618fe,The Next Shit,DJ Vadim,https://www.last.fm/music/DJ+Vadim,"trip-hop, hip hop, chill, chillout, triphop",,https://www.last.fm/music/DJ+Vadim/_/The+Next+Shit
16ab0675-ba57-309b-88bb-508ed86ac228,Shuttle 3-5-8,Small World,https://www.last.fm/music/Small+World,"groovesalad, somafm, k, ambigroove, SummerNightChillOut",,https://www.last.fm/music/Small+World/_/Shuttle+3-5-8
242afee6-e4fc-4aa6-bd44-aa74f54ca5e5,Zero-G,Minus 8,https://www.last.fm/music/Minus+8,"chillout, best of chill, downtempo, Best Of Down Tempo, Best Of Downtempo",,https://www.last.fm/music/Minus+8/_/Zero-G
e49ca212-8928-46c9-acfe-622c94616259,Breathe (2 AM),Anna Nalick,https://www.last.fm/music/Anna+Nalick,"female vocalists, pop, singer-songwriter, Mellow, greys anatomy",,https://www.last.fm/music/Anna+Nalick/_/Breathe+(2+AM)
